dataset,fit_size,dim,ndcg@10,n_queries,recall@10,recall@100
fiqa,1000,512,0.4241338386045542,648,0.495733009274676,0.7704314675379491
fiqa,1000,256,0.411064576879686,648,0.4843640841326027,0.7521940336755152
fiqa,1000,128,0.3711589038393707,648,0.4490539167622501,0.7280563657878473
fiqa,1000,64,0.2958121254056374,648,0.3751863662743292,0.6719233312983313
fiqa,1000,32,0.1997558538835046,648,0.2656054379434009,0.5782780491113825
fiqa,5000,512,0.4280209083603018,648,0.5041074109361146,0.7734854308928383
fiqa,5000,256,0.4130673526128482,648,0.4860996214005473,0.7615561735932106
fiqa,5000,128,0.3728065721657841,648,0.4444794403127736,0.7282382440947256
fiqa,5000,64,0.30374184031185264,648,0.3853211860156304,0.6748455376927599
fiqa,5000,32,0.19122806714856927,648,0.25980477855477857,0.5653328453096972
fiqa,20000,512,0.4294689651453788,648,0.50432174564119,0.7717879000286407
fiqa,20000,256,0.4134254089313062,648,0.48275110092239726,0.7594177256214293
fiqa,20000,128,0.3743229083781448,648,0.4451487769774807,0.7324049107613924
fiqa,20000,64,0.3063625902830319,648,0.3896899782316449,0.6776808796484723
fiqa,20000,32,0.18870541500044788,648,0.2540411063559212,0.5730893120939416
fiqa,57638,512,0.4308666850438721,648,0.507168110524592,0.7710505886431812
fiqa,57638,256,0.41379658743533193,648,0.48332796747148604,0.7591237808830402
fiqa,57638,128,0.3733534089703936,648,0.44304401017363976,0.7350706221076592
fiqa,57638,64,0.3047753588482482,648,0.3880285395331692,0.6776876158820603
fiqa,57638,32,0.18895700431531434,648,0.25168884185087886,0.5742559052744238
